user_id,name,age,gender,monthly_income,monthly_expenses,savings,credit_score,has_loan,loan_amount,risky_financial_behavior
2f166b39-30ec-4553-9c05-65f1404095f4,Christina Davis,24,Other,23023,16635.9,16399.84,623,1,17422,0
9f2fecfa-2b17-476f-87ce-2521a1b6f5f1,Leah Carter,30,Other,36606,17224.64,15345.55,667,0,0,1
c4658af5-5488-4119-b99a-cba3814d1583,Travis Ramsey,19,Male,35809,20199.98,13759.51,827,0,0,0
9fa7ad8b-ebe5-4f15-bd56-b339efd98ea7,Tara Huffman,26,Other,23287,20871.1,15254.82,477,0,0,0
fc051c89-b3f6-4bfd-8175-172dc319a3e3,Marc Strickland,28,Male,38844,31633.16,26178.58,784,1,34989,1
e7371441-3de2-423d-8246-0256eeeaaf31,James Griffin,25,Female,13021,6205.37,4598.62,821,1,23596,1
a6c79e71-6300-4704-94a3-7a043cae711d,Brendan Williams,26,Male,22951,15617.17,13539.68,437,0,0,1
f2827c98-2965-45ac-9387-c67e4c524f07,Sarah Vaughn,29,Female,15015,13269.37,6380.65,389,1,45204,0
504f72b9-b7f4-495a-9a3d-c821fe16ac74,Victoria Zamora,23,Male,34950,15043.69,21520.55,639,0,0,1
ff05ad20-2d77-464e-8140-4c1514b6cee2,Jennifer Reed,27,Other,39130,34902.85,21899.33,807,1,25814,1
3a83796b-54d5-4581-9512-8c9fe9a3d1e8,Patricia Ford,29,Other,59511,30626.59,15926.0,712,1,48547,1
e146e475-48bf-450b-a67a-511268eb7363,Carolyn Lowe,28,Other,17706,10644.46,9799.36,591,1,19397,1
828a16bf-7389-4d99-bdb8-4e8dfb873ac3,Sandra Palmer,24,Other,37519,28090.49,21623.54,628,1,33506,0
a6f929ac-1152-4987-96cd-30bc84c73b1a,Tom Lopez,20,Male,26920,12117.87,16488.68,427,0,0,0
83cb655b-091a-4282-8cdd-2b1106fa028e,Jennifer Foster,25,Female,54201,26522.44,34394.19,402,0,0,1
f217ef30-4392-4472-8abd-21133391c413,Candice Yu,27,Female,59138,51127.98,29814.72,607,1,8018,1
dccd78d1-d74a-4c46-9876-76c0086c9278,Nicholas Davenport,22,Female,15619,12927.25,12275.81,435,0,0,1
4ea2d45e-e1a6-4850-8e95-9b4f029cd084,Makayla Edwards,20,Male,45908,39311.43,20149.8,562,0,0,0
2a065909-57ee-4522-885c-56911206c6d2,Dawn Jones,26,Other,52260,38095.29,22555.64,451,0,0,1
0cd5722d-c2d8-4c64-a0e1-1d00012d5ed4,Gina Gutierrez,21,Other,43621,34749.49,17049.09,643,0,0,1
d758f162-9fde-4675-b6d7-ba370ab775e0,Todd Richards,19,Female,18370,10462.29,8301.84,311,0,0,1
473013be-30e5-4faf-ae2e-32cdeb9b9eec,Phillip Montgomery,28,Other,18945,13700.0,2614.41,807,0,0,1
a74b8227-f8d5-4ea8-83aa-54dbc7786906,Marc Kim,22,Female,46093,37568.89,9917.07,377,1,39634,0
668d386e-16eb-4993-9065-6f350c8126ea,Anthony Mitchell,21,Other,26077,14859.19,3795.34,335,0,0,1
6090d1fc-b825-4203-bd32-c0201b8e7ab0,Randall Herring,20,Male,30019,25308.9,18438.65,713,0,0,0
6fab711d-d927-422f-9d75-4095ef8902e9,Sally Gonzalez,30,Male,33096,20127.91,18847.33,311,1,9840,0
fb1052c7-05ce-43b8-b6cd-f46056b3b5d7,Veronica Dillon,24,Male,47373,18971.01,30860.92,487,0,0,1
25f8c74f-f59f-4b1b-865a-581fbbe16c92,Charles Rogers,22,Male,16035,11754.11,3363.48,615,0,0,0
7a6277c2-70d0-4c9d-b432-20a68deb735d,Jacqueline Smith,24,Female,17743,14105.0,2979.17,508,0,0,1
dff1f665-f05a-4fd1-8993-8d1ec10c8eed,Daniel Burns,26,Female,15032,10094.61,7614.27,615,1,15195,1
4790a610-6d22-4363-8cb2-e6a5bd618e24,Margaret Mcdonald,30,Female,15310,12116.44,1793.86,354,1,15880,1
e6d343d2-9998-443f-aa40-27ed1b03c520,Eric Williams,24,Other,20934,18480.72,4906.91,810,0,0,0
837006a0-652c-4f5c-ab40-387250284184,Pamela Steele,20,Male,49913,31638.2,11049.57,537,0,0,1
195747a3-b0ff-45a3-87c0-8da523371c48,Sarah Reynolds,26,Other,48143,31656.96,23489.25,508,1,41893,1
8970433f-ca18-4edc-8458-c590c1113f3d,Jennifer Schneider,18,Other,46239,35236.56,21939.06,691,1,33474,1
fa08b7fb-4881-4e4d-b093-d166758d70b9,Charles Arnold,22,Other,16676,11188.18,2323.41,373,1,41207,1
5b196ad7-8765-4d40-acb7-e8a47a693c3b,Shannon Huff,21,Other,22276,13866.63,17014.31,633,0,0,1
7ce23b44-5a26-4aca-8884-bd910cd19343,Neil Alexander,24,Female,43370,25480.15,32981.04,360,0,0,0
0bcb87c7-301c-442e-871e-a3b9136af15a,Eric Murphy,21,Male,49769,44171.25,22069.44,401,0,0,0
22ad3072-b2a6-4ab3-9830-3e4f4e46ca6f,Joshua Lang,24,Male,21704,10781.48,13717.42,697,0,0,1
af78c166-97bb-4d3e-89cc-6f3b2f40e4cb,Kathleen Miller,28,Other,29657,11873.92,17414.46,737,1,40139,1
da0fc380-61f2-49a8-a27e-c1bbfc8a005d,Terri Little,20,Female,14055,11917.56,3218.24,825,1,17967,1
c49ac8e1-7325-4677-a8ec-46e8e2ded2ee,Jennifer Moran,23,Male,42437,31560.37,13853.39,769,1,32780,0
e591ae53-0b81-4c85-8df1-02f20552887c,Bradley Baker,25,Male,25020,13702.57,12208.37,829,1,43507,0
5224aa52-1ac5-42de-8e20-3f1832ba290b,James Carlson,30,Male,58422,33827.85,23217.23,831,1,27958,0
ae16976e-22ac-43ac-9b50-498cf3fa2c5b,Ms. Sharon Jones DDS,22,Male,33323,15552.24,19720.25,844,1,14097,0
324a51d6-7618-42a8-a0aa-fa1067cc73d1,Elizabeth Williams,23,Male,51790,40074.51,22229.38,768,0,0,0
d3c25ce6-5ad6-487f-be37-4f787e303cdc,Terry Stanley,26,Male,33419,15113.22,25400.15,361,0,0,0
109c9094-5fe6-4504-983c-7ea88e611785,Jonathan Floyd,21,Other,12252,10824.94,7343.45,571,1,35542,0
5d243fcf-c835-43bd-b991-b2cc595151f9,Lindsay Rodriguez,23,Other,58030,28949.78,39378.42,533,0,0,1
8dc852d5-96ee-4d3a-870f-4e9e5e1961e2,Jonathan Wright,23,Male,34028,24804.61,20276.04,357,0,0,0
87b8e83a-5e1e-441a-8bc2-8f4736ce66ea,Walter Sanders,18,Female,30558,14224.29,3755.16,567,0,0,0
e3cd93b5-a1bd-49d1-b692-f912d10c7909,Billy Ibarra,24,Other,21433,17973.74,11389.14,405,1,39503,1
2c927e59-f12d-4023-9df7-c4000563e95d,Ryan Kelly,21,Female,42408,23143.64,24157.58,370,1,22493,1
f11bf3aa-ef91-4f5e-9ae1-a0830799c349,Carol Jones,18,Other,49716,37291.64,37133.3,757,1,14936,0
916a9d36-8f7f-4be5-8715-83cdcfe20ab7,James Moody,21,Male,36939,23667.19,6522.84,805,0,0,1
1b626707-c375-4f0c-b698-a77f1a049544,Andrea Graves,24,Male,47591,36648.89,27261.88,777,0,0,0
d3e747d1-cc5d-4329-b119-9294c99ce793,Timothy Holland,21,Other,26373,19267.69,7461.33,677,1,17988,1
977069a6-a88e-493e-b178-9161c5dd25e0,James Porter,21,Female,19776,14519.01,15819.88,621,1,40193,0
54c961fc-67d7-4adf-98fd-9015dccdafef,Emily Morales,29,Male,40199,29603.02,17803.98,392,0,0,0
8834e7c2-40db-406a-995a-b8a9a59479e7,John Gaines,24,Male,47707,26502.12,16584.99,674,0,0,1
e4a37095-7aa6-490c-8a99-0e26c8230cf8,John Barnett,21,Female,25565,18771.13,10625.38,614,0,0,1
1c34693a-89c0-4351-a623-7b5a86e46284,Billy Schmidt,23,Other,28771,23495.23,21158.61,496,0,0,0
d7e2c3c8-d8d3-4980-b966-d4cdad6c84e0,Fernando Reese,23,Female,14383,6828.57,3734.22,736,0,0,1
fa18f0b5-4421-4a4e-a2cd-dadf759a2f68,Rebecca Dean,29,Female,49841,27323.02,36251.56,755,0,0,1
b2ad7be2-5605-4f5b-a8b0-520babcfd699,Carol Smith,23,Male,30025,26976.92,16982.73,839,0,0,0
